 Episode: 5114, Total Reward: 1.0, Steps: 152, 10-Window_Average: 0.8
 Episode: 5115, Total Reward: 4.0, Steps: 254, 10-Window_Average: 1.2
 Episode: 5116, Total Reward: 12.0, Steps: 522, 10-Window_Average: 2.3
 Episode: 5117, Total Reward: 17.0, Steps: 605, 10-Window_Average: 3.7
 Episode: 5118, Total Reward: 10.0, Steps: 479, 10-Window_Average: 4.7
 Episode: 5119, Total Reward: 27.0, Steps: 813, 10-Window_Average: 7.3
 Episode: 5120, Total Reward: 28.0, Steps: 634, 10-Window_Average: 10.0
 Episode: 5121, Total Reward: 9.0, Steps: 477, 10-Window_Average: 10.8
 Episode: 5122, Total Reward: 6.0, Steps: 363, 10-Window_Average: 11.4
 Episode: 5123, Total Reward: 3.0, Steps: 265, 10-Window_Average: 11.7
 Episode: 5124, Total Reward: 1.0, Steps: 172, 10-Window_Average: 11.7
 Episode: 5125, Total Reward: 0.0, Steps: 125, 10-Window_Average: 11.3
 Episode: 5126, Total Reward: 0.0, Steps: 123, 10-Window_Average: 10.1
 Episode: 5127, Total Reward: 0.0, Steps: 124, 10-Window_Average: 8.4
 Episode: 5128, Total Reward: 0.0, Steps: 124, 10-Window_Average: 7.4
 Episode: 5129, Total Reward: 2.0, Steps: 199, 10-Window_Average: 4.9
 Episode: 5130, Total Reward: 2.0, Steps: 201, 10-Window_Average: 2.3
 Episode: 5131, Total Reward: 1.0, Steps: 171, 10-Window_Average: 1.5
 Episode: 5132, Total Reward: 0.0, Steps: 125, 10-Window_Average: 0.9
 Episode: 5133, Total Reward: 8.0, Steps: 352, 10-Window_Average: 1.4
 Episode: 5134, Total Reward: 3.0, Steps: 231, 10-Window_Average: 1.6
 Episode: 5135, Total Reward: 2.0, Steps: 197, 10-Window_Average: 1.8
 Episode: 5136, Total Reward: 2.0, Steps: 198, 10-Window_Average: 2.0
 Episode: 5137, Total Reward: 0.0, Steps: 125, 10-Window_Average: 2.0
 Episode: 5138, Total Reward: 0.0, Steps: 124, 10-Window_Average: 2.0
 Episode: 5139, Total Reward: 1.0, Steps: 153, 10-Window_Average: 1.9
 Episode: 5140, Total Reward: 0.0, Steps: 124, 10-Window_Average: 1.7
 Episode: 5141, Total Reward: 1.0, Steps: 152, 10-Window_Average: 1.7
