episode,reward,epsilon,action_frequency
13300, 27.0, 0.01, "{0: 107, 1: 8, 2: 28, 3: 52}"
13325, 17.0, 0.01, "{0: 111, 1: 7, 2: 31, 3: 39}"
13350, 11.0, 0.01, "{0: 70, 1: 5, 2: 22, 3: 32}"
13375, 22.0, 0.01, "{0: 113, 1: 14, 2: 46, 3: 39}"
13400, 17.0, 0.01, "{0: 63, 1: 7, 2: 25, 3: 32}"
13425, 21.0, 0.01, "{0: 93, 1: 12, 2: 29, 3: 34}"
13450, 11.0, 0.01, "{0: 62, 1: 16, 2: 36, 3: 35}"
13475, 23.0, 0.01, "{0: 80, 1: 28, 2: 36, 3: 48}"
13500, 22.0, 0.01, "{0: 138, 1: 9, 2: 34, 3: 36}"
13525, 13.0, 0.01, "{0: 109, 1: 7, 2: 15, 3: 23}"
13550, 20.0, 0.01, "{0: 70, 1: 34, 2: 24, 3: 28}"
13575, 18.0, 0.01, "{0: 110, 1: 14, 2: 21, 3: 25}"
13600, 23.0, 0.01, "{0: 85, 1: 10, 2: 42, 3: 52}"
13625, 18.0, 0.01, "{0: 83, 1: 22, 2: 28, 3: 33}"
13650, 15.0, 0.01, "{0: 57, 1: 7, 2: 18, 3: 24}"
13675, 19.0, 0.01, "{0: 92, 1: 19, 2: 26, 3: 37}"
13700, 14.0, 0.01, "{0: 98, 1: 24, 2: 18, 3: 23}"
13725, 16.0, 0.01, "{0: 90, 1: 13, 2: 34, 3: 38}"
13750, 13.0, 0.01, "{0: 74, 1: 10, 2: 17, 3: 26}"
13775, 24.0, 0.01, "{0: 85, 1: 10, 2: 30, 3: 34}"
13800, 15.0, 0.01, "{0: 81, 1: 8, 2: 25, 3: 31}"
13825, 13.0, 0.01, "{0: 78, 1: 5, 2: 30, 3: 40}"
13850, 13.0, 0.01, "{0: 90, 1: 15, 2: 18, 3: 38}"
13875, 17.0, 0.01, "{0: 130, 1: 5, 2: 22, 3: 26}"
13900, 13.0, 0.01, "{0: 105, 1: 13, 2: 17, 3: 25}"
13925, 12.0, 0.01, "{0: 83, 1: 8, 2: 22, 3: 30}"
13950, 21.0, 0.01, "{0: 78, 1: 6, 2: 23, 3: 27}"
13975, 13.0, 0.01, "{0: 90, 1: 17, 2: 19, 3: 33}"
14000, 14.0, 0.01, "{0: 87, 1: 6, 2: 18, 3: 22}"
14025, 14.0, 0.01, "{0: 84, 1: 7, 2: 22, 3: 23}"
14050, 15.0, 0.01, "{0: 98, 1: 18, 2: 23, 3: 33}"
14075, 17.0, 0.01, "{0: 60, 1: 5, 2: 30, 3: 35}"
14100, 14.0, 0.01, "{0: 66, 1: 11, 2: 27, 3: 30}"
14125, 13.0, 0.01, "{0: 46, 1: 14, 2: 23, 3: 32}"
14150, 10.0, 0.01, "{0: 47, 1: 21, 2: 21, 3: 36}"
14175, 15.0, 0.01, "{0: 92, 1: 14, 2: 14, 3: 33}"
14200, 22.0, 0.01, "{0: 86, 1: 16, 2: 36, 3: 39}"
14225, 15.0, 0.01, "{0: 87, 1: 29, 2: 22, 3: 33}"
14250, 22.0, 0.01, "{0: 81, 1: 6, 2: 33, 3: 37}"
14275, 18.0, 0.01, "{0: 84, 1: 15, 2: 49, 3: 55}"
14300, 21.0, 0.01, "{0: 83, 1: 14, 2: 35, 3: 37}"
14325, 11.0, 0.01, "{0: 55, 1: 9, 2: 28, 3: 30}"
14350, 15.0, 0.01, "{0: 48, 1: 9, 2: 20, 3: 33}"
14375, 17.0, 0.01, "{0: 84, 1: 10, 2: 29, 3: 33}"
14400, 7.0, 0.01, "{0: 41, 1: 11, 2: 18, 3: 23}"
14425, 13.0, 0.01, "{0: 55, 1: 8, 2: 14, 3: 16}"
14450, 20.0, 0.01, "{0: 69, 1: 7, 2: 29, 3: 33}"
14475, 10.0, 0.01, "{0: 79, 1: 15, 2: 16, 3: 21}"
14500, 19.0, 0.01, "{0: 105, 1: 23, 2: 28, 3: 38}"
14525, 10.0, 0.01, "{0: 80, 1: 11, 2: 17, 3: 24}"
14550, 11.0, 0.01, "{0: 81, 1: 6, 2: 19, 3: 25}"
14575, 19.0, 0.01, "{0: 105, 1: 13, 2: 31, 3: 39}"
14600, 27.0, 0.01, "{0: 95, 1: 12, 2: 33, 3: 39}"
14625, 16.0, 0.01, "{0: 91, 1: 11, 2: 22, 3: 29}"
14650, 21.0, 0.01, "{0: 82, 1: 9, 2: 34, 3: 35}"
14675, 15.0, 0.01, "{0: 91, 1: 11, 2: 32, 3: 35}"
14700, 23.0, 0.01, "{0: 85, 1: 40, 2: 33, 3: 42}"
14725, 23.0, 0.01, "{0: 112, 1: 23, 2: 33, 3: 37}"
14750, 11.0, 0.01, "{0: 59, 1: 11, 2: 26, 3: 34}"
14775, 9.0, 0.01, "{0: 61, 1: 11, 2: 22, 3: 25}"
14800, 11.0, 0.01, "{0: 55, 1: 25, 2: 23, 3: 31}"
14825, 9.0, 0.01, "{0: 66, 1: 12, 2: 18, 3: 19}"
14850, 17.0, 0.01, "{0: 93, 1: 6, 2: 31, 3: 32}"
14875, 15.0, 0.01, "{0: 105, 1: 6, 2: 28, 3: 27}"
14900, 13.0, 0.01, "{0: 95, 1: 6, 2: 21, 3: 30}"
14925, 19.0, 0.01, "{0: 84, 1: 18, 2: 43, 3: 38}"
14950, 12.0, 0.01, "{0: 81, 1: 21, 2: 17, 3: 18}"
14975, 15.0, 0.01, "{0: 85, 1: 6, 2: 25, 3: 25}"
15000, 11.0, 0.01, "{0: 70, 1: 23, 2: 20, 3: 29}"
15025, 11.0, 0.01, "{0: 73, 1: 13, 2: 17, 3: 30}"
15050, 8.0, 0.01, "{0: 58, 1: 10, 2: 17, 3: 32}"
15075, 12.0, 0.01, "{0: 64, 1: 5, 2: 18, 3: 21}"
15100, 12.0, 0.01, "{0: 77, 1: 18, 2: 24, 3: 36}"
15125, 16.0, 0.01, "{0: 88, 1: 18, 2: 19, 3: 27}"
15150, 14.0, 0.01, "{0: 88, 1: 16, 2: 27, 3: 28}"
15175, 14.0, 0.01, "{0: 74, 1: 12, 2: 15, 3: 24}"
15200, 20.0, 0.01, "{0: 90, 1: 12, 2: 25, 3: 34}"
15225, 15.0, 0.01, "{0: 72, 1: 9, 2: 27, 3: 29}"
15250, 12.0, 0.01, "{0: 42, 1: 8, 2: 12, 3: 18}"
