episode,reward,epsilon,action_frequency
7850, 15.0, 0.01, "{0: 10, 1: 26, 2: 72, 3: 40}"
7875, 10.0, 0.01, "{0: 27, 1: 38, 2: 33, 3: 27}"
7900, 13.0, 0.01, "{0: 15, 1: 77, 2: 34, 3: 30}"
7925, 9.0, 0.01, "{0: 10, 1: 52, 2: 22, 3: 26}"
7950, 13.0, 0.01, "{0: 24, 1: 58, 2: 43, 3: 32}"
7975, 12.0, 0.01, "{0: 30, 1: 47, 2: 33, 3: 31}"
8000, 10.0, 0.01, "{0: 47, 1: 23, 2: 36, 3: 26}"
8025, 11.0, 0.01, "{0: 21, 1: 24, 2: 29, 3: 27}"
8050, 15.0, 0.01, "{0: 56, 1: 33, 2: 34, 3: 40}"
8075, 10.0, 0.01, "{0: 35, 1: 24, 2: 30, 3: 30}"
8100, 13.0, 0.01, "{0: 23, 1: 58, 2: 33, 3: 35}"
8125, 11.0, 0.01, "{0: 11, 1: 35, 2: 35, 3: 30}"
8150, 16.0, 0.01, "{0: 34, 1: 27, 2: 30, 3: 30}"
8175, 7.0, 0.01, "{0: 29, 1: 25, 2: 29, 3: 19}"
8200, 19.0, 0.01, "{0: 100, 1: 29, 2: 28, 3: 23}"
8225, 17.0, 0.01, "{0: 55, 1: 23, 2: 29, 3: 28}"
8250, 10.0, 0.01, "{0: 22, 1: 18, 2: 28, 3: 24}"
8275, 21.0, 0.01, "{0: 19, 1: 55, 2: 60, 3: 35}"
8300, 18.0, 0.01, "{0: 32, 1: 45, 2: 45, 3: 47}"
8325, 9.0, 0.01, "{0: 28, 1: 34, 2: 33, 3: 25}"
8350, 11.0, 0.01, "{0: 24, 1: 29, 2: 30, 3: 26}"
8375, 14.0, 0.01, "{0: 16, 1: 20, 2: 26, 3: 30}"
8400, 11.0, 0.01, "{0: 35, 1: 41, 2: 31, 3: 29}"
8425, 9.0, 0.01, "{0: 27, 1: 30, 2: 38, 3: 32}"
8450, 12.0, 0.01, "{0: 30, 1: 49, 2: 29, 3: 31}"
8475, 17.0, 0.01, "{0: 40, 1: 6, 2: 52, 3: 32}"
8500, 15.0, 0.01, "{0: 28, 1: 40, 2: 25, 3: 24}"
8525, 8.0, 0.01, "{0: 31, 1: 31, 2: 27, 3: 24}"
8550, 11.0, 0.01, "{0: 55, 1: 24, 2: 31, 3: 28}"
8575, 15.0, 0.01, "{0: 25, 1: 28, 2: 35, 3: 25}"
8600, 9.0, 0.01, "{0: 29, 1: 43, 2: 23, 3: 20}"
8625, 16.0, 0.01, "{0: 18, 1: 39, 2: 54, 3: 41}"
8650, 11.0, 0.01, "{0: 5, 1: 30, 2: 38, 3: 23}"
8675, 8.0, 0.01, "{0: 6, 1: 25, 2: 21, 3: 22}"
8700, 7.0, 0.01, "{0: 14, 1: 17, 2: 41, 3: 28}"
8725, 8.0, 0.01, "{0: 0, 1: 62, 2: 23, 3: 20}"
8750, 14.0, 0.01, "{0: 31, 1: 38, 2: 33, 3: 30}"
8775, 14.0, 0.01, "{0: 21, 1: 23, 2: 30, 3: 20}"
8800, 13.0, 0.01, "{0: 51, 1: 10, 2: 36, 3: 29}"
8825, 11.0, 0.01, "{0: 16, 1: 37, 2: 27, 3: 27}"
8850, 13.0, 0.01, "{0: 36, 1: 47, 2: 51, 3: 30}"
8875, 13.0, 0.01, "{0: 59, 1: 27, 2: 41, 3: 29}"
8900, 14.0, 0.01, "{0: 63, 1: 44, 2: 31, 3: 27}"
8925, 8.0, 0.01, "{0: 34, 1: 17, 2: 35, 3: 25}"
8950, 12.0, 0.01, "{0: 22, 1: 48, 2: 38, 3: 33}"
8975, 12.0, 0.01, "{0: 52, 1: 40, 2: 29, 3: 28}"
9000, 16.0, 0.01, "{0: 78, 1: 24, 2: 28, 3: 34}"
9025, 23.0, 0.01, "{0: 35, 1: 30, 2: 72, 3: 38}"
9050, 14.0, 0.01, "{0: 28, 1: 17, 2: 31, 3: 21}"
9075, 15.0, 0.01, "{0: 55, 1: 32, 2: 46, 3: 39}"
9100, 17.0, 0.01, "{0: 43, 1: 34, 2: 51, 3: 32}"
9125, 17.0, 0.01, "{0: 48, 1: 14, 2: 38, 3: 26}"
9150, 11.0, 0.01, "{0: 32, 1: 34, 2: 31, 3: 33}"
9175, 19.0, 0.01, "{0: 97, 1: 12, 2: 35, 3: 32}"
9200, 12.0, 0.01, "{0: 31, 1: 5, 2: 25, 3: 19}"
9225, 14.0, 0.01, "{0: 59, 1: 13, 2: 31, 3: 28}"
9250, 16.0, 0.01, "{0: 79, 1: 9, 2: 35, 3: 32}"
9275, 15.0, 0.01, "{0: 62, 1: 6, 2: 33, 3: 27}"
9300, 11.0, 0.01, "{0: 45, 1: 21, 2: 41, 3: 29}"
9325, 16.0, 0.01, "{0: 39, 1: 6, 2: 39, 3: 29}"
9350, 11.0, 0.01, "{0: 57, 1: 12, 2: 39, 3: 36}"
9375, 16.0, 0.01, "{0: 64, 1: 12, 2: 44, 3: 34}"
9400, 16.0, 0.01, "{0: 52, 1: 15, 2: 51, 3: 36}"
9425, 18.0, 0.01, "{0: 62, 1: 25, 2: 43, 3: 30}"
9450, 14.0, 0.01, "{0: 72, 1: 7, 2: 30, 3: 21}"
9475, 15.0, 0.01, "{0: 58, 1: 13, 2: 34, 3: 29}"
9500, 15.0, 0.01, "{0: 34, 1: 49, 2: 37, 3: 29}"
9525, 12.0, 0.01, "{0: 56, 1: 13, 2: 39, 3: 29}"
9550, 24.0, 0.01, "{0: 55, 1: 35, 2: 50, 3: 45}"
9575, 13.0, 0.01, "{0: 29, 1: 30, 2: 58, 3: 36}"
9600, 18.0, 0.01, "{0: 49, 1: 23, 2: 53, 3: 41}"
9625, 15.0, 0.01, "{0: 50, 1: 12, 2: 43, 3: 38}"
9650, 10.0, 0.01, "{0: 51, 1: 8, 2: 31, 3: 30}"
9675, 10.0, 0.01, "{0: 25, 1: 19, 2: 41, 3: 38}"
9700, 22.0, 0.01, "{0: 45, 1: 25, 2: 51, 3: 53}"
9725, 10.0, 0.01, "{0: 38, 1: 13, 2: 39, 3: 34}"
9750, 13.0, 0.01, "{0: 53, 1: 24, 2: 37, 3: 36}"
9775, 17.0, 0.01, "{0: 35, 1: 19, 2: 40, 3: 39}"
9800, 10.0, 0.01, "{0: 44, 1: 20, 2: 32, 3: 29}"
9825, 18.0, 0.01, "{0: 43, 1: 24, 2: 52, 3: 44}"
9850, 17.0, 0.01, "{0: 55, 1: 8, 2: 57, 3: 48}"
9875, 18.0, 0.01, "{0: 41, 1: 8, 2: 51, 3: 38}"
9900, 17.0, 0.01, "{0: 37, 1: 20, 2: 62, 3: 48}"
9925, 18.0, 0.01, "{0: 68, 1: 10, 2: 47, 3: 46}"
9950, 22.0, 0.01, "{0: 78, 1: 8, 2: 45, 3: 40}"
9975, 18.0, 0.01, "{0: 68, 1: 7, 2: 42, 3: 42}"
10000, 17.0, 0.01, "{0: 86, 1: 11, 2: 33, 3: 31}"
