date-time,episode,total_steps,reward,pid,steps,avg_loss,value_net,target_net,epsilon
2022/12/26-15:04:26,5078,6205,5.0,29498,85,0.027534,-1888.3167724609375,-1854.53564453125,0.4447500000000001
2022/12/26-15:04:26,5079,6210,4.0,29501,74,0.020227,-1888.59765625,-1854.53564453125,0.4440000000000002
2022/12/26-15:04:26,5080,6243,8.0,29496,75,0.032192,-1888.1468505859375,-1854.53564453125,0.4433333333333335
2022/12/26-15:04:27,5081,6288,11.0,29497,119,0.038056,-1888.3974609375,-1854.53564453125,0.4455
2022/12/26-15:04:29,5082,6366,5.0,29500,81,0.030031,-1887.47216796875,-1854.53564453125,0.44416666666666677
2022/12/26-15:04:33,5083,6512,4.0,29502,78,0.036133,-1885.0123291015625,-1854.53564453125,0.44416666666666677
2022/12/26-15:04:35,5084,6580,2.0,29495,51,0.028219,-1884.255859375,-1854.53564453125,0.44416666666666677
2022/12/26-15:04:38,5085,6688,3.0,29498,60,0.026805,-1883.9910888671875,-1854.53564453125,0.44416666666666677
2022/12/26-15:04:42,5086,6872,5.0,29496,77,0.030044,-1884.5030517578125,-1854.53564453125,0.4426666666666669
2022/12/26-15:04:42,5087,6879,1.0,29502,45,0.035119,-1884.5621337890625,-1854.53564453125,0.44358333333333344
2022/12/26-15:04:42,5088,6891,7.0,29499,102,0.041095,-1884.2626953125,-1854.53564453125,0.44583333333333325
2022/12/26-15:04:43,5089,6915,6.0,29501,94,0.021763,-1883.640380859375,-1854.53564453125,0.4433333333333335
2022/12/26-15:04:43,5090,6922,4.0,29500,70,0.029308,-1883.7198486328125,-1854.53564453125,0.44358333333333344
2022/12/26-15:04:49,5091,7140,7.0,29497,107,0.037439,-1881.499267578125,-1854.53564453125,0.445
2022/12/26-15:04:52,5092,7302,5.0,29495,86,0.027759,-1880.581787109375,-1854.53564453125,0.44358333333333344
2022/12/26-15:04:53,5093,7333,3.0,29499,59,0.040019,-1880.7137451171875,-1854.53564453125,0.44541666666666657
2022/12/26-15:04:55,5094,7412,5.0,29498,82,0.027358,-1881.79443359375,-1854.53564453125,0.44358333333333344
2022/12/26-15:04:56,5095,7460,4.0,29501,70,0.023170,-1881.970703125,-1854.53564453125,0.4426666666666669
2022/12/26-15:05:00,5096,7626,6.0,29502,98,0.034213,-1883.0823974609375,-1854.53564453125,0.4430000000000001
2022/12/26-15:05:00,5097,7634,7.0,29496,96,0.028620,-1883.07373046875,-1854.53564453125,0.4420000000000002
2022/12/26-15:05:01,5098,7676,1.0,29499,47,0.038355,-1884.8807373046875,-1854.53564453125,0.4449999999999999
2022/12/26-15:05:02,5099,7694,6.0,29500,94,0.027804,-1885.7919921875,-1854.53564453125,0.4430000000000001
2022/12/26-15:05:07,5100,7889,4.0,29495,71,0.027556,-1889.0780029296875,-1854.53564453125,0.4430000000000001
2022/12/26-15:05:07,5101,7899,5.0,29497,94,0.037641,-1888.79296875,-1854.53564453125,0.4445
2022/12/26-15:05:10,5102,8015,4.0,29501,68,0.022438,-1888.974365234375,-1854.53564453125,0.4420000000000002
2022/12/26-15:05:12,5103,8121,5.0,29498,79,0.026938,-1890.0682373046875,-1854.53564453125,0.4430000000000001
2022/12/26-15:05:15,5104,8234,4.0,29500,67,0.026809,-1891.59521484375,-1854.53564453125,0.4424166666666668
2022/12/26-15:05:19,5105,8386,2.0,29495,59,0.027936,-1894.3983154296875,-1854.53564453125,0.4424166666666668
