Episode: 258, Total Reward: 190.0, Steps: 883
Episode: 259, Total Reward: 40.0, Steps: 219
Episode: 260, Total Reward: 100.0, Steps: 560
Episode: 261, Total Reward: 70.0, Steps: 432
Episode: 262, Total Reward: 160.0, Steps: 814
Episode: 263, Total Reward: 110.0, Steps: 830
Episode: 264, Total Reward: 150.0, Steps: 868
Episode: 265, Total Reward: 140.0, Steps: 801
Episode: 266, Total Reward: 30.0, Steps: 195
Episode: 267, Total Reward: 205.0, Steps: 1350
Episode: 268, Total Reward: 100.0, Steps: 467
Episode: 269, Total Reward: 160.0, Steps: 797
Episode: 270, Total Reward: 190.0, Steps: 1168
Episode: 271, Total Reward: 205.0, Steps: 1163
Episode: 272, Total Reward: 220.0, Steps: 914
Episode: 273, Total Reward: 120.0, Steps: 476
Episode: 274, Total Reward: 90.0, Steps: 616
Episode: 275, Total Reward: 205.0, Steps: 931
Episode: 276, Total Reward: 120.0, Steps: 581
Episode: 277, Total Reward: 150.0, Steps: 749
Episode: 278, Total Reward: 90.0, Steps: 699
Episode: 279, Total Reward: 235.0, Steps: 891
Episode: 280, Total Reward: 110.0, Steps: 551
Episode: 281, Total Reward: 340.0, Steps: 1528
Episode: 282, Total Reward: 265.0, Steps: 2093
Episode: 283, Total Reward: 205.0, Steps: 597
Episode: 284, Total Reward: 140.0, Steps: 1027
Episode: 285, Total Reward: 150.0, Steps: 1705
Episode: 286, Total Reward: 340.0, Steps: 2258
Episode: 287, Total Reward: 130.0, Steps: 610
Episode: 288, Total Reward: 220.0, Steps: 950
Episode: 289, Total Reward: 120.0, Steps: 930
Episode: 290, Total Reward: 60.0, Steps: 298
Episode: 291, Total Reward: 100.0, Steps: 609
Episode: 292, Total Reward: 120.0, Steps: 1288
Episode: 293, Total Reward: 190.0, Steps: 1019
Episode: 294, Total Reward: 190.0, Steps: 882
Episode: 295, Total Reward: 370.0, Steps: 1227
Episode: 296, Total Reward: 235.0, Steps: 1222
Episode: 297, Total Reward: 175.0, Steps: 1418
Episode: 298, Total Reward: 100.0, Steps: 513
Episode: 299, Total Reward: 295.0, Steps: 1333
Episode: 300, Total Reward: 175.0, Steps: 2205
Episode: 301, Total Reward: 80.0, Steps: 611
Episode: 302, Total Reward: 50.0, Steps: 271
Episode: 303, Total Reward: 60.0, Steps: 602
Episode: 304, Total Reward: 20.0, Steps: 174
Episode: 305, Total Reward: 175.0, Steps: 977
Episode: 306, Total Reward: 355.0, Steps: 2135
Episode: 307, Total Reward: 385.0, Steps: 1515
Episode: 308, Total Reward: 110.0, Steps: 592
Episode: 309, Total Reward: 120.0, Steps: 710
Episode: 310, Total Reward: 70.0, Steps: 745
Episode: 311, Total Reward: 385.0, Steps: 1597
